Review,Sentiment
मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,angry
मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,angry
क्या बेकार की बातें कर रहे हो ,angry
क्या बताओ यार मूड ही ख़राब है ,angry
आप ऐसे कैसे मेरा पैसा काट सकते हो ,angry
इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,angry
मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,angry
ये कैसा घटिया प्लान है ,angry
गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,angry
मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,angry
आप अपनी सर्विस अपने पास रखो ,angry
अपना पैक अपने पास रख ,angry
कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,angry
कुछ भी बोल रहे हो यार ,angry
एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,angry
अबे रिचार्ज कर चुप चाप से ,angry
दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,angry
कहाँ से होगा बे तेरा रिचार्ज  ,angry
जल्दी कर यार तू रिचार्ज लौड़े ,angry
जल्दी डलवा मेरे पैसे इडियट ,angry
गवार तू जल्दी रिचार्ज करेगा ,angry
मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,angry
साले मेरा पैसा कब तक आएगा ,angry
चुप चाप मेरे पैसे लौटा ,angry
यार बार बार इंडिका ही क्यों बुक होता है ,angry
नहीं डलवाऊँगा पैसे मैं साले चोर ,angry
जा नहीं करा रहा मैं रिचार्ज ,angry
तू बस अपना पैक्स डिटेल्स दे नालायक ,angry
क्या बकवास पैक्स हैं ,angry
एक ही बात कितने बार बोलोगे ,angry
कब तक एक ही बात बोलोगे ,angry
होते कौन हो आप ऐसा करने वाले ,angry
कुछ भी करके मेरे पैसे रिवर्ट कराओ ,angry
ऐसे कैसे चैनल्स बंद कर दिए आप ,angry
मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,angry
कैसी घटिया सर्विस है तुम्हारी ,angry
तू गधा है क्या ,angry
मुझे बहुत गुस्सा आ रहा है ,angry
ये कैब वाला कहा मर गया ,angry
और कितना इंतज़ार करवाओगे भाई ,angry
 तुझे एक बार मैं समझ नहीं आता क्या ,angry
यार क्या बकवास कर रहे हो तुम ,angry
बहुत ही घटिया एप्प है तुम्हारा ,angry
क्या बतमीज़ी है यार ,angry
एक भी सही चीज नहीं बताई तुमने,angry
तेरे को एक बार में समझ में नहीं आती क्या ,angry
एप्प बार बार फस क्यों रहा है ,angry
बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,angry
मुझे कुछ समझ में नहीं आ रहा है ,angry
ये कैब कहा रह गया यार ,angry
मुझे तुम से बहुत शिकायत है ,angry
अबे चूतियों वाली बातें मत करो ,angry
कैब वाले ने फिर से कैंसिल कर दिया,angry
मेरी कैब क्यों नहीं आ रही है ,angry
मै तुमसे बहुत क्रोधित हु ,angry
टट्टी एप है ये ,angry
बार बार एक ही चीज़ बोले जा रहे हो ,angry
दिमाग खराब कर दिया ,angry
कोई काम के नहीं हो तुम ,angry
कितनी बार एक ही चीज़ बोलनी पड़ेगी ,angry
कुछ काम का नहीं है ये एप ,angry
कभी तो समझ जा एक बार मे ,angry
अबे गांडू हो क्या ?,angry
यूज़लेस एप ,angry
बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,angry
तुमसे नहीं हो पायेगा ,angry
मेरा टाइम बर्बाद कर दिया ,angry
तुमसे अच्छा तोह मै खुद ही कर लूं,angry
तबसे एक काम नहीं  कर पा रहे हो तुम ,angry
तुमसे अच्छा गधे से काम करा लूं,angry
चुतियापा बंध करो तुम्हारा ,angry
कभी तो काम के आओ तुम ,angry
यूज़लेस ,angry
वेस्ट ऑफ टाइम,angry
घटिया सर्विस ,angry
क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,angry
क्या पागलपंती है ये ,angry
पागल बना रखा है इस एप ने ,angry
क्या बेकार रिस्पांस है इस एप का ,angry
अजीब पागल हो तुम बे ,angry
व्हाट ध फ़क ,angry
तुम्हारे वजह से बेज़त्ति हो गयी मेरी ,angry
कम ऑन मैन ,angry
बहुत टाइम लग रहा है बुक हने मे ,angry
फ़क ऑफ़ ,angry
मै तंग आ चुका हू ,angry
दुनिया का सबसे बेकार एप्प है तुम्हारा ,angry
बहुत परेशान करता है ये एप ,angry
चूतिया है क्या ? ,angry
मुझे तुमसे बात नहीं करनी है ,angry
अबे भोसड़ीके ,angry
जो बोला वो क्यों नहीं करते हो ? ,angry
बहनचोद  ,angry
साले मादरचोद हो तुम ,angry
हरामी ,angry
मादरचोद ,angry
क्या लूज़र सा एप है ,angry
क्या बेकार अप्प है ,angry
तुम कभी कुछ समझते ही नहीं हो ,angry
तुम एक दम बेवक़ूफ़ हो ,angry
ऐसा लग रहा है दीवार से बात कर रहा हु ,angry
तुम सबसे वाहियाद हो ,angry
कमीने ,angry
एकदम बेकार ,angry
गवार एप ,angry
हरामज़ादे ,angry
लंड जैसा काम किया तुमने ,angry
कुछ भी नहीं बको बे ,angry
ये क्या बकवास है ,angry
तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,angry
लंड बॉट है ये ,angry
गए गुजरे हो तुम हरामजादे,angry
तुमसे कोई काम न होता भोसड़ीके ,angry
तुम किसी काम के नहीं हो बहनचोद ,angry
यार क्या घटिया सर्विस है ,angry
कहा मर गए ,angry
अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,angry
अरे ये चैनल कैसे लॉक हो गया गधे ,angry
ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,angry
कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,angry
इतना मेहेंगा क्यों भोस्डिके ,angry
अभी तक साले ने डिलीवरी नहीं दी ,angry
क्या वाहियात है यार ,angry
अबे क्या मुझे तू उल्लू समझ रहा है ,angry
ओय मुझे गधा समझा है क्या ,angry
हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,angry
इत्ता परेशान मै पहले कभी नहीं हुआ ,angry
अपने आप को समझ क्या रखा है तूने कुत्ते ,angry
अबे ये एप्प कितना फसता है ,angry
यार कुछ पल्ले ही नहीं पर रहा ,angry
बढ़िया डील मिला हमे ,happy
होटल तो लाजवाब है ,happy
यह होटल काफी अच्छा था ,happy
इतना अच्छा सर्विस दिया तो ख़ुशी से मै और पैसे दे दूँ ,happy
यार ये बहुत सही चीज़ है ,happy
यार ये तो मख्खन जैसा काम करता है ,happy
बहुत खूब ,happy
बहुत बढ़िया हुआ कि पैसे समय से पहले आ गए ,happy
